time,frequency
9.3,261.5688225190161
9.305,261.2291304576471
9.31,259.33087190448873
9.315,260.8559930521561
9.32,260.63432063887245
9.325,259.54481757724074
9.33,260.15389517109435
9.335,259.76753630913475
9.34,261.6485284662686
9.345,257.92643685285844
9.35,257.79576471067475
9.355,260.6817499795222
9.36,255.82347477038607
9.365,253.27014244681374
9.37,247.08814585148767
9.375,250.65967871716012
9.38,235.95939848207345
9.385,245.72319209013563
9.39,253.8283729944428
9.395,257.31348153377166
9.4,267.1345369400817
9.405,262.4017718427492
9.41,261.70324579353684
9.415,263.25965676284534
9.42,261.01346253096295
9.425,258.31775167931835
9.43,262.1303293536867
9.435,260.2333219629925
9.44,259.70463892372277
9.445,263.65940411035626
9.45,260.77541223322976
9.455,259.02702707605283
9.46,263.2042497583312
9.465,258.18802930012305
9.47,261.0214580451794
9.475,263.4869633957731
9.48,259.0007352296588
9.485,259.93911931692526
9.49,262.4148923162206
9.495,257.6363878245309
9.5,260.8877865206214
9.505,259.5463313519376
9.51,256.05635673319506
9.515,261.7884635494015
9.52,258.3283889687987
9.525,256.4525663083773
9.53,259.6059119642499
9.535,257.97360528165666
9.54,257.2124675405877
